model,arm,target_labels,n_eval,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,sensitivity,sensitivity_ci,specificity,specificity_ci,precision,precision_ci,f1,f1_ci,brier
mr_mil,zero_shot,none,250,0.8175359999999999,[0.764-0.867],0.8179709170633029,[0.760-0.870],1.0,[1.000-1.000],0.024,[0.000-0.056],0.5060728744939271,[0.500-0.514],0.6720430107526881,[0.667-0.679],0.4587896890976105
mr_mil,upl,none,250,0.81216,[0.759-0.863],0.8225249396431569,[0.774-0.874],1.0,[1.000-1.000],0.08,[0.040-0.128],0.5208333333333334,[0.510-0.534],0.684931506849315,[0.676-0.696],0.40999700822299473
mr_mil,upl_tent,none,250,0.783872,[0.729-0.839],0.732418642389787,[0.671-0.815],1.0,[1.000-1.000],0.0,[0.000-0.000],0.5,[0.500-0.500],0.6666666666666666,[0.667-0.667],0.47975695867713825
