model,mask_type,n_eval,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,sensitivity,sensitivity_ci,specificity,specificity_ci,precision,precision_ci,f1,f1_ci
der_mil,bbox,250,0.934144,[0.902-0.962],0.9309393397818344,[0.892-0.962],0.976,[0.944-1.000],0.592,[0.504-0.680],0.7052023121387283,[0.663-0.753],0.8187919463087248,[0.787-0.852]
der_mil,unet,250,0.913536,[0.877-0.945],0.9208909521948365,[0.888-0.950],0.992,[0.976-1.000],0.176,[0.112-0.248],0.5462555066079295,[0.526-0.569],0.7045454545454546,[0.685-0.725]
