cohort,condition,ece,brier,ece_benign,ece_malignant
Dev (OOF),Before temp. scaling,0.09239711018315558,0.10181575795281894,0.12892720604319424,0.12067934416355135
Dev (OOF),After temp. scaling (T=3.342),0.06831951626509764,0.08786914343223595,0.16638544587212045,0.2086580295006898
Test set,Temp. scaling only,0.11660814358119122,0.11231268804452994,0.21486915003096793,0.3487687127947791
Test set,+ Prior-shift correction,0.15102219411092088,0.1235527117409572,0.3591012787015448,0.18620185875228942
