model,mask_type,n_eval,roc_auc,roc_auc_ci,pr_auc,pr_auc_ci,sensitivity,sensitivity_ci,specificity,specificity_ci,precision,precision_ci,f1,f1_ci
mr_mil,pixel,250,0.960512,[0.939-0.979],0.9604632555875647,[0.937-0.980],0.952,[0.912-0.984],0.744,[0.672-0.816],0.7880794701986755,[0.741-0.842],0.8623188405797102,[0.827-0.899]
mr_mil,bbox,250,0.963584,[0.943-0.981],0.9653876422407374,[0.945-0.982],0.96,[0.928-0.992],0.784,[0.712-0.856],0.8163265306122449,[0.767-0.870],0.8823529411764706,[0.849-0.915]
