cohort,condition,ece,brier,ece_benign,ece_malignant
Dev (OOF),Before temp. scaling,0.029204256760636267,0.0338377864883382,0.01683072045600153,0.12348335627820778
Dev (OOF),After temp. scaling (T=1.584),0.016529781103168634,0.03184210447669428,0.03676412597206448,0.13122550473828376
Test set,Temp. scaling only,0.06165863208087487,0.052625191122790675,0.008994626042715767,0.13891686900922032
Test set,+ Prior-shift correction,0.04518269572353294,0.04369313104425463,0.014889769183830049,0.11087100012648532
