operating_point,threshold,sensitivity,specificity,precision,f1,roc_auc,brier,tp,fp,tn,fn
Raw @ 0.5,0.5,0.8810198300283286,0.9948186528497409,0.9936102236421726,0.933933933933934,0.9894281436686287,0.05525444174460343,311,2,384,42
Calibrated @ youden,0.1392956127984957,0.9121813031161473,0.9922279792746114,0.9907692307692307,0.9498525073746313,0.9894281436686287,0.052625191108093716,322,3,383,31
Calibrated @ sens90,0.30642895223758204,0.8895184135977338,0.9948186528497409,0.9936708860759493,0.938714499252616,0.9894281436686287,0.052625191108093716,314,2,384,39
Prior-shifted @ 0.5,0.5,0.8951841359773371,0.9948186528497409,0.9937106918238994,0.9418777943368107,0.9894281436686287,0.043693131490293545,316,2,384,37
