cohort,condition,ece,brier,ece_benign,ece_malignant
Dev (OOF),Before temp. scaling,0.023029779624625366,0.029392165359859352,0.05090248708137121,0.055693933454462004
Dev (OOF),After temp. scaling (T=1.164),0.02751420207352557,0.029118891131806848,0.057817214011726126,0.058073666308370527
Test set,Temp. scaling only,0.013435106038326696,0.02299677865312332,0.030566438518190547,0.05863929986206221
Test set,+ Prior-shift correction,0.016993192561068012,0.022065217384900696,0.05613856070800554,0.040430903637007416
