operating_point,threshold,sensitivity,specificity,precision,f1,roc_auc,brier,tp,fp,tn,fn
Raw @ 0.5,0.5,0.9546742209631728,0.9896373056994818,0.9882697947214076,0.9711815561959654,0.9942498789061927,0.023106052928983604,337,4,382,16
Calibrated @ youden,0.3835749107849429,0.9631728045325779,0.9818652849740933,0.9798270893371758,0.9714285714285714,0.9942498789061927,0.022996778702760855,340,7,379,13
Calibrated @ sens90,0.8886607353917926,0.8895184135977338,0.9948186528497409,0.9936708860759493,0.938714499252616,0.9942498789061927,0.022996778702760855,314,2,384,39
