cohort,condition,ece,brier,ece_benign,ece_malignant
Dev (OOF),Before temp. scaling,0.019802957956068762,0.028620149951532226,0.04784473770664855,0.059398283141064746
Dev (OOF),After temp. scaling (T=1.239),0.025706023621397043,0.028671406705204145,0.057339144768488046,0.06447129574158827
Test set,Temp. scaling only,0.03961864251483595,0.044998796097433055,0.04048129425421915,0.1247708821957745
Test set,+ Prior-shift correction,0.02651427107456114,0.03883720280488869,0.07735254265540704,0.08734295850733846
