operating_point,threshold,sensitivity,specificity,precision,f1,roc_auc,brier,tp,fp,tn,fn
Raw @ 0.5,0.5,0.8838526912181303,0.9896373056994818,0.9873417721518988,0.9327354260089685,0.9868631566586916,0.046508480753780654,312,4,382,41
Calibrated @ youden,0.5248905596736213,0.8810198300283286,0.9896373056994818,0.9873015873015873,0.9311377245508983,0.9868631566586916,0.04499879613588363,311,4,382,42
Calibrated @ sens90,0.8237950208513509,0.830028328611898,0.9974093264248705,0.9965986394557823,0.9057187017001546,0.9868631566586916,0.04499879613588363,293,1,385,60
