condition,description,roc_auc,pr_auc,f1,delta
clean,{'op': 'none'},0.9868631566586916,0.9885444726868201,0.9327354260089685,0.0
dilate5,"{'op': 'dilate', 'px': 5, 'iters': 1}",0.9852669201074432,0.986669080857967,0.9026275115919629,-0.001596236551248409
erode5,"{'op': 'erode', 'px': 5, 'iters': 1}",0.9871713954410016,0.9888298512269958,0.9508670520231214,0.0003082387823100108
erode15,"{'op': 'erode', 'px': 15, 'iters': 2}",0.8071856331371369,0.8260991299061393,0.6780104712041886,-0.17967752352155475
dilate15,"{'op': 'dilate', 'px': 15, 'iters': 2}",0.9603399433427763,0.9624898306854535,0.3190476190476191,-0.02652321331591534
zeros,{'op': 'zeros'},0.5136689221917244,0.48625236501136226,0.0,-0.4731942344669672
