model,roc_auc,roc_auc_shuffled,d_roc_auc,pr_auc,pr_auc_shuffled,d_pr_auc,f1,f1_shuffled,d_f1
der_mil,0.9909507335511563,0.989236978666154,-0.00171375488500225,0.9922837221522322,0.9910755245934595,-0.0012081975587726612,0.9050632911392406,0.8995215311004784,-0.005541760038762167
mr_mil,0.994013870203088,0.9946305016336728,0.0006166314305848797,0.9945163906006433,0.9951175275590929,0.0006011369584495441,0.9704142011834319,0.96274217585693,-0.007672025326501908
rcaf,0.9864581331283233,0.9877514574924724,0.0012933243641490844,0.9884873844660573,0.9895697595726647,0.0010823751066073584,0.9308755760368663,0.9368258859784283,0.005950309941561982
