model,roc_auc_pooled,roc_auc_fold_mean,roc_auc_fold_std,pr_auc,sensitivity,specificity,precision,f1,brier,n
mr_mil,0.9928694042200791,0.9943370034657425,0.00216970238779534,0.9838035001636779,0.9486887115165337,0.9652805813484053,0.906318082788671,0.9270194986072423,0.029392165371713356,3354
der_mil,0.9923094061719013,0.9933941861006377,0.001990040549963451,0.9824672554146958,0.9498289623717218,0.9717400080742834,0.9224806201550387,0.9359550561797753,0.028444272529990582,3354
rcaf,0.9911981564486779,0.992429522920872,0.001955423982636134,0.9801579550465889,0.9521094640820981,0.9689140088817118,0.9155701754385965,0.9334823923979878,0.028620149928511206,3354
