cohort,condition,ece,brier,ece_benign,ece_malignant
Dev (OOF),Before temp. scaling,0.01983918660535005,0.02844427252805486,0.04820477151008516,0.06093305197577495
Dev (OOF),After temp. scaling (T=1.135),0.023355496803037112,0.02836970538222021,0.05412851430100163,0.06355985592496526
Test set,Temp. scaling only,0.08170417887846276,0.06527832232832909,0.008598773277049866,0.1804490500740091
Test set,+ Prior-shift correction,0.05892765332278348,0.05100447578698081,0.017320039946796047,0.14043690331842296
