condition,description,roc_auc,pr_auc,f1,delta
clean,{'op': 'none'},0.991094100896828,0.9921730559323058,0.9076923076923077,0.0
dilate5,"{'op': 'dilate', 'px': 5, 'iters': 1}",0.9880667557134262,0.9893294268166929,0.8653846153846154,-0.003027345183401864
erode5,"{'op': 'erode', 'px': 5, 'iters': 1}",0.9900592992705015,0.9914185393740822,0.9309309309309309,-0.0010348016263265203
erode15,"{'op': 'erode', 'px': 15, 'iters': 2}",0.8110643044812048,0.8323284619926801,0.7058823529411765,-0.18002979641562322
dilate15,"{'op': 'dilate', 'px': 15, 'iters': 2}",0.9506891338490219,0.9512814437007221,0.1566579634464752,-0.04040496704780616
zeros,{'op': 'zeros'},0.5899066476830718,0.5171366000093889,0.0,-0.40118745321375626
