operating_point,threshold,sensitivity,specificity,precision,f1,roc_auc,brier,tp,fp,tn,fn
Raw @ 0.5,0.5,0.8356940509915014,0.9948186528497409,0.9932659932659933,0.9076923076923077,0.991094100896828,0.06673816057501862,295,2,384,58
Calibrated @ youden,0.5261958264599419,0.8356940509915014,0.9974093264248705,0.9966216216216216,0.9090909090909091,0.991094100896828,0.06527832231311254,295,1,385,58
Calibrated @ sens90,0.8384973196687506,0.7592067988668555,1.0,1.0,0.8631239935587761,0.991094100896828,0.06527832231311254,268,0,386,85
