cohort,condition,ece,brier,ece_benign,ece_malignant
Dev (OOF),Before temp. scaling,0.02883603909161803,0.03524772896651589,0.02309371324249169,0.10547148882683263
Dev (OOF),After temp. scaling (T=1.799),0.014310818291834296,0.03273782674559325,0.0444857301610433,0.11582659929139566
Test set,Temp. scaling only,0.054172293994084915,0.03471889008606885,0.11923604436239744,0.08391057478837266
Test set,+ Prior-shift correction,0.10637229937790761,0.05040893257876878,0.24297516949697542,0.052470226991305796
