operating_point,threshold,sensitivity,specificity,precision,f1,roc_auc,brier,tp,fp,tn,fn
Raw @ 0.5,0.5,0.8668555240793201,0.8704663212435233,0.8595505617977528,0.8631875881523272,0.9459628058536014,0.09649627657776544,306,50,336,47
Calibrated @ youden,0.39360467217616474,0.9206798866855525,0.7823834196891192,0.7946210268948656,0.8530183727034121,0.9459628058536014,0.11231268810008124,325,84,302,28
Calibrated @ sens90,0.48941794007256395,0.8781869688385269,0.8652849740932642,0.856353591160221,0.8671328671328672,0.9459628058536014,0.11231268810008124,310,52,334,43
Prior-shifted @ 0.5,0.5,0.9660056657223796,0.6917098445595855,0.741304347826087,0.8388683886838869,0.9459628058536014,0.12355270940827748,341,119,267,12
