operating_point,threshold,sensitivity,specificity,precision,f1,roc_auc,brier,tp,fp,tn,fn
Raw @ 0.5,0.5,0.9206798866855525,0.9844559585492227,0.9818731117824774,0.9502923976608187,0.9919931306785656,0.03348014281326008,325,6,380,28
Calibrated @ youden,0.3395027071828302,0.9490084985835694,0.9740932642487047,0.9710144927536232,0.9598853868194842,0.9919931306785656,0.03471889011076387,335,10,376,18
Calibrated @ sens90,0.5041962415890595,0.9178470254957507,0.9844559585492227,0.9818181818181818,0.9487554904831625,0.9919931306785656,0.03471889011076387,324,6,380,29
Prior-shifted @ 0.5,0.5,0.9546742209631728,0.9637305699481865,0.9601139601139601,0.9573863636363635,0.9919931306785656,0.05040893070117929,337,14,372,16
