condition,description,roc_auc,pr_auc,f1,delta
clean,{'op': 'none'},0.9937765122047879,0.994347618135721,0.9576642335766424,0.0
dilate5,"{'op': 'dilate', 'px': 5, 'iters': 1}",0.9918316722687842,0.9925024766100208,0.9274924471299094,-0.001944839936003695
erode5,"{'op': 'erode', 'px': 5, 'iters': 1}",0.9927894141995333,0.9935608634628774,0.9637155297532657,-0.0009870980052546496
erode15,"{'op': 'erode', 'px': 15, 'iters': 2}",0.88921751383405,0.8817772642124783,0.6975206611570248,-0.1045589983707379
dilate15,"{'op': 'dilate', 'px': 15, 'iters': 2}",0.919542338798456,0.9308311076495137,0.3695150115473441,-0.07423417340633187
zeros,{'op': 'zeros'},0.5781091752410867,0.5362806975890281,0.0,-0.4156673369637012
