condition,description,roc_auc,pr_auc,f1,delta
clean,{'op': 'none'},0.9919931306785656,0.9924623925410595,0.9502923976608187,0.0
dilate5,"{'op': 'dilate', 'px': 5, 'iters': 1}",0.9901914016057773,0.9909108276414572,0.9325337331334332,-0.001801729072788305
erode5,"{'op': 'erode', 'px': 5, 'iters': 1}",0.9897217044136859,0.9909559139890888,0.9566473988439307,-0.00227142626487975
erode15,"{'op': 'erode', 'px': 15, 'iters': 2}",0.8523866488573149,0.8354432101179456,0.7780548628428927,-0.1396064818212508
dilate15,"{'op': 'dilate', 'px': 15, 'iters': 2}",0.9370605762597425,0.9478077739738363,0.6074950690335306,-0.054932554418823165
zeros,{'op': 'zeros'},0.645697867281187,0.5741423456748227,0.6465201465201464,-0.3462952633973786
