condition,description,roc_auc,pr_auc,f1,delta
clean,{'op': 'none'},0.9459628058536014,0.9431236797145995,0.8631875881523272,0.0
dilate5,"{'op': 'dilate', 'px': 5, 'iters': 1}",0.9471517268710827,0.9441452337143934,0.859481582537517,0.0011889210174813591
erode5,"{'op': 'erode', 'px': 5, 'iters': 1}",0.9410309853366408,0.938511341288191,0.8456973293768545,-0.004931820516960617
erode15,"{'op': 'erode', 'px': 15, 'iters': 2}",0.8187299094365101,0.7725036792075629,0.7186147186147187,-0.12723289641709123
dilate15,"{'op': 'dilate', 'px': 15, 'iters': 2}",0.9374422052283169,0.92578489390187,0.8500619578686494,-0.00852060062528448
zeros,{'op': 'zeros'},0.7738371324986423,0.7486220336397954,0.7008547008547008,-0.1721256733549591
